# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
64,3,0.1503252213183639,-0.35773093771376363
64,4,0.11491106935796477,-0.3219678688400032
65,0,0.04152043176649458,0.35745049022645975
65,1,0.09780013033554771,0.39436991380809383
65,2,0.1319332387366385,0.3672487293982565
65,3,0.13355016402541825,0.3181289884171808
65,4,0.06194970023623142,0.29685049669261193
66,0,-0.3160365445300368,-0.14611508774989748
66,1,-0.24801469055389944,-0.1785015187238354
66,2,-0.274304637264927,-0.2367248733936836
66,3,-0.3407163490408534,-0.2263613470951434
66,4,-0.34746290534744656,-0.18257596388414216
67,0,0.30667254658853765,-0.03555787271049124
67,1,0.36451547224339675,-0.011159631623207017
67,2,0.40683579101914846,-0.06339045948351812
67,3,0.3815270378208854,-0.10089612019253776
67,4,0.3347393412604586,-0.10615458731367486
67,5,0.3061420479369012,-0.03697658677939029
68,0,-0.20499269364128953,0.23559880771538022
68,1,-0.26265061451009897,0.25656826281682765
68,2,-0.25912759783613826,0.32353713741668344
68,3,-0.21417829794812795,0.3341774074072331
68,4,-0.17709911210721133,0.30688505475151834
68,5,-0.20193345250021746,0.23713399911500307
69,0,-0.07684590592267349,-0.34898917377694477
69,1,-0.0683388206633167,-0.3931828784662209
69,2,-0.027329072201990053,-0.4163197953603342
69,3,0.02025529953373373,-0.3690869717537425
69,4,-0.007273571639150385,-0.3155488377150481
69,5,-0.012599182306069504,-0.3140268955645924
70,0,0.29465506058912355,0.20749152776065233
70,1,0.22398043746132607,0.2246074749640419
70,2,0.22034360166624162,0.23061535809696676
70,3,0.2362053323248454,0.28738340517862027
70,4,0.3031672102439922,0.2904155713556752
70,5,0.31785657387559935,0.24471841819897205
71,0,-0.36048766962275414,0.046021801492580776
71,1,-0.3197885707521544,-0.013385474958339843
71,2,-0.3215888116007752,-0.022163763276215137
71,3,-0.370622287162884,-0.052248228772732164
71,4,-0.4224538208915564,-0.009631673699957342
71,5,-0.4018775336177805,0.03463310432306247
72,0,0.3199959344541932,-0.27977521923166315
72,1,0.2740953165040658,-0.2986646647531714
72,2,0.23690968772142634,-0.2794797573613942
72,3,0.24643241586260187,-0.2085525403623851
72,4,0.2551190025653219,-0.2023189538317386
72,5,0.31031383493119946,-0.21340372462657403
73,0,0.013782157448078973,0.3691508593007678
73,1,-0.04029449146463954,0.3231983122732436
73,2,-0.05264001089232131,0.3247380339356633
73,3,-0.08485744438398246,0.3692771242175856
73,4,-0.04763875424684843,0.4251267763758464
73,5,-0.00018029370003095485,0.4075489237566013
74,0,-0.2613124178427535,-0.26537469512072925
74,1,-0.2767440817890827,-0.302003622214844
74,2,-0.2535667237789218,-0.34789710996154777
74,3,-0.18831862169402674,-0.33161164281151884
74,4,-0.18189440678528135,-0.2780591582978438
74,5,-0.1909728140246852,-0.26731435466477366
75,0,0.32423283262415026,0.06807863720133558
75,1,0.3249517604293868,0.08354997657019736
75,2,0.3650119594368631,0.11752559432553811
75,3,0.42441237297386847,0.08594418334672041
75,4,0.4102514686683935,0.035655806650143895
75,5,0.3747506173746028,0.019546743646578716
76,0,-0.29209984243587844,0.24032956770280972
76,1,-0.32801544461402266,0.25218528415807867
76,2,-0.37331418397364335,0.2245116618605971
76,3,-0.3505065419811566,0.161043406757501
76,4,-0.29920541070740453,0.15874901223434237
76,5,-0.28695803745618526,0.17087868019177677
77,0,0.053858880659527826,-0.377313768434297
77,1,0.09622716615611006,-0.32257792105055405
77,2,0.11491106935796477,-0.3219678688400032
77,3,0.1503252213183639,-0.35773093771376363
77,4,0.12460616373137677,-0.42014279212417666
77,5,0.07184119176192588,-0.40958478711606505
78,0,0.13355016402541825,0.3181289884171808
78,1,0.14873515051863673,0.3049628400032219
78,2,0.21665033076555448,0.31700749288213204
78,3,0.22513263417366416,0.35206014407367237
78,4,0.19282277619202232,0.39633453255136686
78,5,0.1319332387366385,0.3672487293982565
79,0,-0.37662852600496965,-0.08854056269545482
79,1,-0.31841377825835493,-0.12486110835062601
79,2,-0.3160365445300368,-0.14611508774989748
79,3,-0.34746290534744656,-0.18257596388414216
79,4,-0.4122670491176707,-0.16303578394621393
79,5,-0.405813758830177,-0.10791391552495175
80,0,0.3815270378208854,-0.10089612019253776
