# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
181,9,CDDC,1,365134,31726218
181,15,CCCC,1,328792,31723429
182,15,CCCC,1,25563030918,30539609190
183,0,DDDD,0,12492745697,8877871560
183,1,CDDD,0,11082738473,1306125430
184,0,DDDD,0,321415,31399716
184,1,CDDD,0,331019,31528772
184,6,DCCD,0,346224,31754676
184,8,DDDC,0,322472,31373131
184,9,CDDC,1,4999208027,31682813
184,14,DCCC,0,343025,31721258
184,15,CCCC,1,22475728995,23664607725
186,0,DDDD,0,22440159091,7255686539
186,1,CDDD,0,21717730121,637922847
187,15,CCCC,1,24158532822,40232022265
189,0,DDDD,0,19591482089,1874905296
189,1,CDDD,0,20393172868,46693397470
189,6,DCCD,0,336286,31619177
189,8,DDDC,0,371848,31615262
189,9,CDDC,1,9998074308,31749485
189,14,DCCC,0,319361,31444224
189,15,CCCC,1,330451,31796842
190,15,CCCC,0,1950638247,4483988581
191,0,DDDD,0,16874894661,5241430503
191,1,CDDD,0,16376327013,2137774484
192,0,DDDD,0,318449,31384762
192,1,CDDD,0,324215,31477262
192,8,DDDC,0,315905,31359456
192,9,CDDC,1,328687,31617318
192,14,DCCC,0,333769,31592290
192,15,CCCC,1,24754017901,29791026210
194,0,DDDD,0,24807571309,14918875571
194,1,CDDD,0,25165923974,33803522799
194,9,CDDC,1,359272,31797782
195,15,CCCC,1,24543443276,30345672743
197,0,DDDD,0,4979037600,31437347
197,1,CDDD,0,5017694395,31655974
197,6,DCCD,0,359425,31911593
197,8,DDDC,0,334437,31385678
197,9,CDDC,1,4999249642,31830231
197,14,DCCC,0,349225,31898865
197,15,CCCC,1,17227948077,24124334492
199,0,DDDD,0,20710804927,3960964046
199,1,CDDD,0,20519189214,709043680
200,9,CDDC,1,325504,31610760
200,15,CCCC,1,25371646508,26426120341
202,0,DDDD,0,24685134345,14010492155
202,1,CDDD,0,25295037084,34713381835
202,8,DDDC,0,338954,31682831
202,9,CDDC,1,358398,31695970
202,14,DCCC,0,318130,31456735
202,15,CCCC,1,325653,31719819
203,15,CCCC,0,871020935,2593911495
204,0,DDDD,0,13165620637,8785258194
204,1,CDDD,0,12277912383,912197112
205,0,DDDD,0,319410,31396097
205,1,CDDD,0,323532,31518170
205,6,DCCD,0,336641,31652871
205,8,DDDC,0,317060,31357044
205,9,CDDC,1,328352,31596324
205,14,DCCC,0,335097,31615736
205,15,CCCC,1,24915304831,17672135155
207,0,DDDD,0,24312969206,14995325584
207,1,CDDD,0,25526644032,33635285166
208,15,CCCC,1,24778565962,28205936213
210,0,DDDD,0,25386970318,11310045040
210,1,CDDD,0,24594761844,27441695519
210,6,DCCD,0,340925,31761293
210,8,DDDC,0,348565,31593035
210,9,CDDC,1,372560,31825886
210,14,DCCC,0,320203,31592663
210,15,CCCC,1,330162,5294213092
211,15,CCCC,0,780839851,1697366849
212,0,DDDD,0,19909260609,3007148564
212,1,CDDD,0,19201992597,1870915524
213,0,DDDD,0,317656,31395809
213,8,DDDC,0,316380,31361050
213,9,CDDC,1,323498,31592165
213,14,DCCC,0,327815,31568532
213,15,CCCC,1,24437742643,26332953214
215,0,DDDD,0,24000802312,14610932750
215,1,CDDD,0,25977998393,34123351180
215,8,DDDC,0,333937,31684215
215,9,CDDC,1,351741,31688637
215,15,CCCC,1,323775,31718971
216,15,CCCC,1,24716021212,30640565356
217,0,DDDD,0,11096383599,10001564830
218,0,DDDD,0,2362941944,31405497
218,1,CDDD,0,2635802261,31565633
218,6,DCCD,0,344411,31782361
218,8,DDDC,0,324293,31379172
218,9,CDDC,1,343410,31717280
218,14,DCCC,0,338539,31748603
218,15,CCCC,1,22675189454,25098260153
220,0,DDDD,0,22347647493,6360098367
220,1,CDDD,0,22071734383,923906105
221,9,CDDC,1,324981,31633436
221,15,CCCC,1,24948451380,35765215759
223,0,DDDD,0,24829272343,1836392367
223,1,CDDD,0,25152543050,46759611828
223,6,DCCD,0,330712,31634817
223,8,DDDC,0,337256,31611400
223,9,CDDC,1,353151,31664632
223,14,DCCC,0,317956,31445759
223,15,CCCC,1,324854,31770340
224,15,CCCC,0,2855928868,4713102429
225,0,DDDD,0,14899154817,6233187443
225,1,CDDD,0,14309840453,1857493635
226,0,DDDD,0,316717,31394676
226,1,CDDD,0,321832,31497726
226,8,DDDC,0,316560,31368475
226,9,CDDC,1,324305,31612811
226,14,DCCC,0,327807,31592704
226,15,CCCC,1,25455365753,28002732822
228,0,DDDD,0,24318722086,14956664336
228,1,CDDD,0,25655606015,33781691234
228,9,CDDC,1,347724,31794233
229,15,CCCC,1,25589797391,30587085764
231,0,DDDD,0,2566448744,5679251513
231,1,CDDD,0,2432412231,13753436782
231,6,DCCD,0,353466,31849529
231,8,DDDC,0,327859,31517379
231,9,CDDC,1,4999270864,31848634
231,14,DCCC,0,347913,31750581
231,15,CCCC,1,21043512028,15909921692
232,15,CCCC,0,156043470,257425645
233,0,DDDD,0,20994030173,1819311887
233,1,CDDD,0,20573435211,1159491044
234,8,DDDC,0,315764,31367781
234,9,CDDC,1,320864,31588118
234,15,CCCC,1,25561530173,26432610990
236,0,DDDD,0,24170280698,14389121159
236,1,CDDD,0,25810943905,34354739325
236,8,DDDC,0,331339,31678858
236,9,CDDC,1,344759,31690647
236,14,DCCC,0,316162,31447693
236,15,CCCC,1,321821,31715333
237,15,CCCC,0,12232879921,1600651017
238,0,DDDD,0,11556781495,8896807558
238,1,CDDD,0,10726663381,1173641836
239,0,DDDD,0,317074,31396821
239,1,CDDD,0,322003,31510538
239,6,DCCD,0,335952,31676079
239,8,DDDC,0,318801,31374477
239,9,CDDC,1,323339,31633206
239,14,DCCC,0,4999233662,31654505
239,15,CCCC,1,23063636373,26130632568
241,0,DDDD,0,24043461116,11116136597
241,1,CDDD,0,24925492923,1671729749
242,15,CCCC,1,25492706068,31141873043
244,0,DDDD,0,22083462891,14179310349
244,1,CDDD,0,22901168175,34274397273
244,6,DCCD,0,337823,31675190
244,8,DDDC,0,336034,31611399
244,9,CDDC,1,357368,31657145
244,14,DCCC,0,326764,31473797
244,15,CCCC,1,2610448000,31790871
245,15,CCCC,0,1731481187,2370590459
