# replicates_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 11000000 (runs.csv), isl from games_dw4_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
36,3,11014753,52683,6,0.21105905,1.2780535
36,4,11014754,55852,6,0.09456624,1.2778537
36,5,11014755,52100,6,0.10746989,1.2778536
36,6,11014756,52445,6,0.09054395,1.2780535
36,7,11014757,52003,6,0.08937261,1.2780091
36,8,11014758,52554,6,0.063713,1.2780091
36,9,11014759,53026,6,0.10663864,1.2779758
36,10,11014760,51756,6,0.05610692,1.2778038
37,1,11014781,37209,6,0.06805357,0.9995783
37,2,11014782,37259,6,0.0545341,0.999157
37,3,11014783,37007,6,0.03277424,0.9993784
37,4,11014784,37007,6,0.0716321,0.9993784
37,5,11014785,37263,6,0.10590591,0.9991571
37,6,11014786,37129,6,0.03168237,0.9991572
37,7,11014787,37007,6,0.04533682,0.9993784
37,8,11014788,37007,6,0.07031396,0.9993784
37,9,11014789,33163,6,0.0720631,0.999157
37,10,11014790,37323,6,0.07377812,0.9989358
38,1,11014811,56831,7,0.02776391,0.9999218
38,2,11014812,62975,7,0.01310404,0.9999218
38,3,11014813,44031,7,0.01830176,0.9998827
38,4,11014814,62463,7,0.01934055,0.9998827
38,5,11014815,31743,7,0.01766848,0.9998827
38,6,11014816,55295,7,0.01221992,0.9999218
38,7,11014817,59391,7,0.01737165,0.9999218
38,8,11014818,64511,7,0.02303052,0.9998827
38,9,11014819,31743,7,0.02014146,0.9998827
38,10,11014820,30719,7,0.01436772,0.9999218
39,1,11014841,32777,6,0.07515332,0.9995927
39,2,11014842,36873,6,0.06308979,0.9995927
39,3,11014843,37193,6,0.05297129,0.9995781
39,4,11014844,32841,6,0.07372021,0.9995927
39,5,11014845,32777,6,0.07327566,0.9995927
39,6,11014846,33289,6,0.05943678,0.9995891
39,7,11014847,37129,6,0.05864725,0.9995854
39,8,11014848,37129,6,0.05565412,0.9995854
39,9,11014849,32777,6,0.05647397,0.9995927
39,10,11014850,36939,6,0.0611962,0.9995927
40,1,11014871,12255,6,0.02205784,0.9996892
40,2,11014872,32159,6,0.0263277,0.9997391
40,3,11014873,64991,6,0.04258585,0.9994786
40,4,11014874,33759,6,0.03476451,0.9997391
40,5,11014875,48607,6,0.02432053,0.9994785
