# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
138,50000000000,53864259,7451941,20181588116,2234646607,566317,536389,915658,6404231,9353453,1749839,20017215764,7128451661,698090,725149,4976257,350856269
139,50000000000,15944090257,16025751935,10499698,45801844,16247657,160832812,2646774,28363191,90044277,17624410814,6418120,20421367,3512358,3814695,3776504,13367697
140,50000000000,327049,348323,326893,416633,390166,9239744,389357,25373565458,323058,368716,323517,540539,391542,12434915,392134,24600221956
141,50000000000,17049529302,3881170866,2758374189,469504810,2906683090,5110499878,7975337,79551691,148356468,845490339,275484636,600540264,6505350077,8930082047,200389731,231017275
142,50000000000,7491454150,7502392148,379120,435127,2549428,5473652,377116,10042202482,374236,14996811178,333336,477421,394253,4866188,366889,9951113276
143,50000000000,468321,500235,476319,768740,2186199272,177438219,3830358,111817711,574492,1100162,590834,66789429,14592730492,32742427128,4569583,109718705
144,50000000000,20829618624,20221715188,952826854,239350446,1908235777,2106230275,25654236,183458516,953440621,1196829918,169071676,226608964,426650419,289819704,115974954,154513828
145,50000000000,320303,331474,320486,365360,351263,6893173,350399,24609092214,317313,339981,317446,432140,348113,7932897,349128,25371938310
146,50000000000,4129614,3562660,45072396102,124865115,415456,391516,624778,1898021,13469779,21813035,1801244333,2314007596,929335,864381,198851199,440537080
147,50000000000,24352476777,25622755394,410343,409037,8408224,12022196,347315,361571,357660,388113,321282,337497,357591,388879,321460,336661
148,50000000000,348494,407083,347527,570537,552233,14077781,828301,24300952586,344087,7324580,486116,22344408,748167,476011001,2147125,25172509974
149,50000000000,13890924749,13111131456,1720295470,177554449,2817465042,7966762004,5736072,28641568,566329218,426462234,196808936,53392217,6340888124,2431646182,239072462,26889817
150,50000000000,321111,335075,322480,381114,361991,6172746,361376,25441038137,320083,345686,319997,461773,359808,6740262,359216,24541799145
151,50000000000,96480873,6290799,721440274,61705893,3097440,799969,8464391,5529828,194970932,1679558,1992586436,46886100816,3349117,813697,11590329,5099648
152,50000000000,21396352276,21029330321,186649799,1501225429,202866915,2590725867,30553326,160846443,530292721,1859162491,76908862,180396731,56230134,27092317,50938001,120428367
153,50000000000,321709,335170,320931,376028,358521,7884419,358494,25060702040,319641,343463,319506,454806,357067,9719314,356254,24917472637
154,50000000000,668352120,662497337,48638028836,3959632,686110,732980,469812,678401,4415811,6429320,6447999,2503001,701148,1367573,1325380,1404540
155,50000000000,21779727082,23201105883,421730,442624,6774394,9076250,369614,2445750598,366681,414787,325583,389227,383203,1031777,344384,2553076183
156,50000000000,404262,454550,405122,682440,1131723340,120505496,8950159,913038340,524181,1474797,623613,194690439,6619729110,39943634839,16512922,1046646390
157,50000000000,19215313202,18822777458,1405302946,195148176,1982648817,3508669149,22973981,137848034,784037020,983968512,197812343,166043974,1560377691,688455671,204868271,123754755
158,50000000000,319137,327904,319756,359259,344683,6377548,346089,25401155747,317544,334416,317234,413625,343065,7141805,344210,24581237978
159,50000000000,4878639,3730071,30128798412,33139129,449609,476727,682906,2877016,1401505,1523066,19443681154,309048149,566046,709572,7708050,60329949
160,50000000000,24563440667,25407870339,398770,394515,9175161,15270202,342300,351775,350501,376138,320325,332646,349797,374078,319509,333277
161,50000000000,327095,351074,326485,422128,395702,10375795,393314,23854713803,324918,374074,324304,556308,398330,15726920,397653,26114592097
162,50000000000,11909746575,11636204141,1804129309,338681392,3088314457,6629747488,2293246,85657686,162512750,254767864,63095888,712770782,6372746648,6510034287,171565296,257732191
163,50000000000,325315,343715,325210,390547,369455,5352893,369342,22807159462,327033,4999193117,322666,488949,369788,6528962,367513,22177766033
164,50000000000,2124370,1367906,2909225,5285841,902954658,102328240,4246614,74601282,2915624,1440238,9448698,34132714491,5383217433,9293804029,4802321,75839030
165,50000000000,19775360277,19502706003,506054133,1852135964,2173733996,3233794039,25861398,150689060,855777847,1058391886,118145012,185016171,210270736,138260633,85612379,128190466
166,50000000000,318942,327752,318417,357536,344927,7117796,344548,25409216014,316602,333351,318210,410865,341830,8108775,342000,24571482435
167,50000000000,6771710,6760773,49851239728,23037270,365519,364319,512383,1257530,9117160,13581371,24253171,29662033,730448,728621,13789745,17828219
168,50000000000,24583989558,25394601848,400687,397958,7544969,9593777,343462,354371,352497,378311,321233,333051,353834,380507,320146,333791
169,50000000000,359517,402705,359928,573606,66485013,31484953,9587003,430920897,452158,3935273,453813,33108989,192825135,48659953907,14896225,554200878
170,50000000000,15074184026,14429121368,1706273207,204789187,2929397456,6849759794,10738272,64755811,759695844,526316836,222154139,87159088,5276328849,1578993082,226438929,53894112
171,50000000000,320012,329160,319238,356920,345602,6067168,344761,24252169623,318175,335105,318138,412850,341588,6676310,342824,25731002526
172,50000000000,108147157,9345117,1874971514,130584527,1112892,681798,1921747,5977815,67479083,1121379,17531557347,30249714618,856250,620626,2546843,13361287
173,50000000000,25221026346,24556906170,1728147,7516194,12165301,68340512,564954,3798076,8145665,111022756,1424827,3161019,780763,624542,794344,2000384
